agent_id,t_step,key,value
45,0,prob_search_spread,0.2
45,0,prob_be_infected,0.3
45,0,id,not_exposed
46,0,prob_neighbor_spread,0.4
46,0,prob_search_spread,0.4
46,0,prob_be_infected,0.4
46,0,id,not_exposed
47,0,prob_neighbor_spread,0.4
47,0,prob_search_spread,0.4
47,0,prob_be_infected,0.4
48,0,prob_neighbor_spread,0.4
48,0,prob_search_spread,0.4
48,0,prob_be_infected,0.4
48,0,id,not_exposed
49,0,prob_neighbor_spread,0.2
49,0,prob_search_spread,0.2
49,0,prob_be_infected,0.3
49,0,id,not_exposed
50,0,prob_neighbor_spread,0.1
50,0,prob_search_spread,0.1
50,0,prob_be_infected,0.2
50,0,id,not_exposed
51,0,prob_neighbor_spread,0.4
51,0,prob_search_spread,0.4
51,0,prob_be_infected,0.4
51,0,id,not_exposed
52,0,prob_neighbor_spread,0.4
52,0,prob_search_spread,0.4
52,0,prob_be_infected,0.4
53,0,prob_neighbor_spread,0.2
53,0,prob_search_spread,0.2
53,0,prob_be_infected,0.3
54,0,prob_neighbor_spread,0.2
54,0,prob_search_spread,0.2
54,0,prob_be_infected,0.3
54,0,id,not_exposed
55,0,prob_neighbor_spread,0.1
55,0,prob_search_spread,0.1
55,0,prob_be_infected,0.2
55,0,id,not_exposed
56,0,prob_neighbor_spread,0.4
56,0,prob_search_spread,0.4
56,0,prob_be_infected,0.4
56,0,id,not_exposed
57,0,prob_neighbor_spread,0.4
57,0,prob_search_spread,0.4
57,0,prob_be_infected,0.4
57,0,id,not_exposed
58,0,prob_neighbor_spread,0.4
58,0,prob_search_spread,0.4
58,0,prob_be_infected,0.4
58,0,id,not_exposed
59,0,prob_neighbor_spread,0.1
59,0,prob_search_spread,0.1
59,0,prob_be_infected,0.2
59,0,id,not_exposed
60,0,prob_neighbor_spread,0.2
60,0,prob_search_spread,0.2
60,0,prob_be_infected,0.3
61,0,prob_neighbor_spread,0.1
61,0,prob_search_spread,0.1
61,0,prob_be_infected,0.2
61,0,id,not_exposed
62,0,prob_neighbor_spread,0.2
62,0,prob_search_spread,0.2
62,0,prob_be_infected,0.3
62,0,id,not_exposed
63,0,prob_neighbor_spread,0.2
63,0,prob_search_spread,0.2
63,0,prob_be_infected,0.3
63,0,id,not_exposed
64,0,prob_neighbor_spread,0.2
64,0,prob_search_spread,0.2
64,0,prob_be_infected,0.3
64,0,id,not_exposed
65,0,prob_neighbor_spread,0.4
65,0,prob_search_spread,0.4
65,0,prob_be_infected,0.4
66,0,prob_neighbor_spread,0.4
66,0,prob_search_spread,0.4
66,0,prob_be_infected,0.4
67,0,prob_neighbor_spread,0.1
67,0,prob_search_spread,0.1
67,0,prob_be_infected,0.2
67,0,id,not_exposed
68,0,prob_neighbor_spread,0.2
68,0,prob_search_spread,0.2
68,0,prob_be_infected,0.3
68,0,id,not_exposed
69,0,prob_neighbor_spread,0.1
69,0,prob_search_spread,0.1
69,0,prob_be_infected,0.2
69,0,id,not_exposed
70,0,prob_neighbor_spread,0.1
70,0,prob_search_spread,0.1
70,0,prob_be_infected,0.2
70,0,id,not_exposed
71,0,prob_neighbor_spread,0.1
71,0,prob_search_spread,0.1
71,0,prob_be_infected,0.2
71,0,id,not_exposed
72,0,prob_neighbor_spread,0.4
72,0,prob_search_spread,0.4
72,0,prob_be_infected,0.4
73,0,prob_neighbor_spread,0.2
73,0,prob_search_spread,0.2
73,0,prob_be_infected,0.3
73,0,id,not_exposed
74,0,prob_neighbor_spread,0.1
74,0,prob_search_spread,0.1
74,0,prob_be_infected,0.2
74,0,id,not_exposed
75,0,prob_neighbor_spread,0.4
75,0,prob_search_spread,0.4
75,0,prob_be_infected,0.4
75,0,id,not_exposed
76,0,prob_neighbor_spread,0.1
76,0,prob_search_spread,0.1
76,0,prob_be_infected,0.2
76,0,id,not_exposed
77,0,prob_neighbor_spread,0.4
77,0,prob_search_spread,0.4
77,0,prob_be_infected,0.4
78,0,prob_neighbor_spread,0.4
78,0,prob_search_spread,0.4
78,0,prob_be_infected,0.4
78,0,id,not_exposed
79,0,prob_neighbor_spread,0.2
79,0,prob_search_spread,0.2
79,0,prob_be_infected,0.3
80,0,prob_neighbor_spread,0.2
80,0,prob_search_spread,0.2
80,0,prob_be_infected,0.3
80,0,id,not_exposed
81,0,prob_neighbor_spread,0.4
81,0,prob_search_spread,0.4
81,0,prob_be_infected,0.4
81,0,id,not_exposed
82,0,prob_neighbor_spread,0.1
82,0,prob_search_spread,0.1
82,0,prob_be_infected,0.2
82,0,id,not_exposed
83,0,prob_neighbor_spread,0.1
83,0,prob_search_spread,0.1
83,0,prob_be_infected,0.2
84,0,prob_neighbor_spread,0.1
84,0,prob_search_spread,0.1
84,0,prob_be_infected,0.2
85,0,prob_neighbor_spread,0.1
85,0,prob_search_spread,0.1
85,0,prob_be_infected,0.2
85,0,id,not_exposed
86,0,prob_neighbor_spread,0.4
86,0,prob_search_spread,0.4
86,0,prob_be_infected,0.4
86,0,id,not_exposed
87,0,prob_neighbor_spread,0.2
87,0,prob_search_spread,0.2
87,0,prob_be_infected,0.3
88,0,prob_neighbor_spread,0.2
88,0,prob_search_spread,0.2
88,0,prob_be_infected,0.3
89,0,prob_neighbor_spread,0.2
89,0,prob_search_spread,0.2
89,0,prob_be_infected,0.3
89,0,id,not_exposed
90,0,prob_neighbor_spread,0.2
90,0,prob_search_spread,0.2
90,0,prob_be_infected,0.3
91,0,prob_neighbor_spread,0.2
91,0,prob_search_spread,0.2
91,0,prob_be_infected,0.3
91,0,id,not_exposed
92,0,prob_neighbor_spread,0.4
92,0,prob_search_spread,0.4
92,0,prob_be_infected,0.4
92,0,id,not_exposed
93,0,prob_neighbor_spread,0.2
93,0,prob_search_spread,0.2
93,0,prob_be_infected,0.3
93,0,id,not_exposed
94,0,prob_neighbor_spread,0.2
94,0,prob_search_spread,0.2
